timer,roll,pitch,yaw,accel_x,accel_y,accel_z,posx,posy,posz
  0.20985, 0.09730, 0.07354, 2.88246,  0.03705, -0.03926, -0.42099, -0.00190, -0.00231, -0.00860
  0.21091, 0.09730, 0.07353, 2.88206,  0.02989, -0.03693, -0.41843, -0.00191, -0.00233, -0.00869
  0.21202, 0.09730, 0.07353, 2.88166,  0.02990, -0.04170, -0.40821, -0.00192, -0.00235, -0.00878
  0.21309, 0.09732, 0.07354, 2.88125,  0.03462, -0.05112, -0.41334, -0.00194, -0.00237, -0.00888
  0.21417, 0.09734, 0.07354, 2.88085,  0.03220, -0.05093, -0.41592, -0.00195, -0.00239, -0.00897
  0.21524, 0.09737, 0.07354, 2.88046,  0.03218, -0.05309, -0.40828, -0.00196, -0.00241, -0.00907
  0.21631, 0.09739, 0.07355, 2.88007,  0.03452, -0.05286, -0.41086, -0.00197, -0.00243, -0.00916
  0.21738, 0.09740, 0.07357, 2.87970,  0.04154, -0.04791, -0.41855, -0.00199, -0.00245, -0.00926
  0.21845, 0.09741, 0.07358, 2.87933,  0.03903, -0.04543, -0.42879, -0.00200, -0.00247, -0.00935
  0.21952, 0.09742, 0.07359, 2.87898,  0.03656, -0.04536, -0.42880, -0.00201, -0.00249, -0.00945
  0.22059, 0.09743, 0.07360, 2.87871,  0.03883, -0.05000, -0.42627, -0.00202, -0.00251, -0.00955
  0.22168, 0.09745, 0.07361, 2.87851,  0.03871, -0.04987, -0.43652, -0.00203, -0.00253, -0.00964
  0.22275, 0.09746, 0.07361, 2.87837,  0.03391, -0.05213, -0.44675, -0.00204, -0.00256, -0.00974
  0.22382, 0.09748, 0.07359, 2.87828,  0.01978, -0.05198, -0.44164, -0.00206, -0.00258, -0.00984
  0.22489, 0.09750, 0.07354, 2.87823,  0.00590, -0.05419, -0.43907, -0.00207, -0.00260, -0.00994
  0.22597, 0.09751, 0.07349, 2.87821,  0.00640, -0.05164, -0.44160, -0.00208, -0.00262, -0.01004
  0.22707, 0.09752, 0.07346, 2.87821,  0.01626, -0.04679, -0.44669, -0.00209, -0.00264, -0.01014
  0.22815, 0.09751, 0.07344, 2.87824,  0.02366, -0.04439, -0.45179, -0.00210, -0.00266, -0.01024
